Query,Source,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate,Cites_Author_Year,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,ECC,acc1,acc2,acc5,acc20,hA
"Pawel Janczyk - Postdoctoral Research Associate, University of Virginia","Google Scholar Profile",9,264,14,18.86,29.33,37.12,1.31,7.00,4,9,5,0.55,4,34.59,5.88,4.68,15.59,0.83,"2025-08-05 15:24:24",2.65,0.29,98.1,100.0,2,2011,2023,264,5,4,3,0,3
"Alfredo Sciortino - Post-doc, CytoMorphoLab","Google Scholar Profile",18,180,14,12.86,10.00,55.23,5.50,4.78,6,13,6,1.24,4,53.00,7.28,15.04,11.87,1.54,"2025-08-05 15:24:22",3.94,0.29,98.3,100.0,1,2011,2025,180,8,6,6,0,5
"L. Q. Costa Campos - Post doctoral researcher, Heinrich Heine University of Düsseldorf","Google Scholar Profile",7,119,13,9.15,17.00,31.27,1.96,4.14,5,7,4,1.25,4,17.83,4.22,3.98,9.70,1.51,"2025-08-05 15:24:21",2.40,0.31,100.0,100.0,0,2012,2021,119,4,3,2,0,3
"Anissa Belfetmi - Postdoctoral research fellow, Harvard Medical School","Google Scholar Profile",14,91,9,10.11,6.50,14.62,5.31,4.86,5,9,4,0.81,3,18.41,4.29,2.89,7.94,1.22,"2025-08-05 15:24:19",1.62,0.33,96.7,100.0,0,2016,2024,91,5,4,2,0,3
"Mai Huynh - Postdoctoral Research Associate, UNC Eshelman School of Pharmacy","Google Scholar Profile",13,76,8,9.50,5.85,16.25,4.13,4.31,7,8,7,1.32,2,29.55,5.44,6.42,4.90,1.96,"2025-08-05 15:24:18",2.03,0.25,96.1,100.0,0,2017,2025,76,8,6,2,0,4
"Joseph G. Wakim - Postdoctoral Researcher, Lawrence Livermore National Laboratory","Google Scholar Profile",7,61,6,10.17,8.71,13.71,2.96,3.43,3,7,3,0.69,3,19.33,4.40,6.73,7.07,1.21,"2025-08-05 15:24:16",2.28,0.50,96.7,100.0,1,2019,2024,61,3,3,2,0,3
"Freeda Yesudas - Postdoctoral Researcher","Google Scholar Profile",2,35,7,5.00,17.50,8.75,0.50,4.00,2,2,2,0.50,2,5.31,2.30,1.33,5.57,0.50,"2025-08-05 15:24:14",1.25,0.29,100.0,100.0,0,2018,2019,35,2,2,0,0,2
"Erwin R. Arias-Hervert - Postdoctoral Research Fellow, University of Michigan","Google Scholar Profile",8,18,6,3.00,2.25,3.57,2.61,4.63,2,4,3,0.40,2,7.90,2.81,2.28,3.32,0.99,"2025-08-05 15:23:43",0.59,0.33,83.3,100.0,0,2019,2025,18,3,3,0,0,2
"Rajneesh Kumar - Post Doctoral Fellow","Google Scholar Profile",5,51,7,7.29,10.20,15.08,1.58,3.20,2,5,2,0.57,2,8.05,2.84,2.36,6.71,0.92,"2025-08-05 15:23:43",2.15,0.29,96.1,100.0,0,2018,2025,51,2,2,0,0,2
"Eleanor Ewins - Postdoctoral researcher, University of Groningen","Google Scholar Profile",5,67,7,9.57,13.40,10.72,0.79,6.40,4,5,4,0.64,2,16.79,4.10,2.72,7.00,0.79,"2025-08-05 15:23:44",1.53,0.29,97.0,100.0,0,2018,2022,67,4,3,2,0,3
"James Gilburt - Postdoctoral Research Associate in Biophysics","Google Scholar Profile",6,84,8,10.50,14.00,13.70,1.43,4.67,3,6,3,0.50,2,14.00,3.74,2.23,8.66,0.51,"2025-08-05 15:23:44",1.71,0.25,100.0,100.0,0,2017,2021,84,3,2,2,0,2
"Zihan Tan - Postdoc at Technische Universität Berlin","Google Scholar Profile",23,103,13,7.92,4.48,30.90,7.68,3.70,6,10,4,1.44,2,15.70,3.96,4.58,7.48,1.77,"2025-08-05 15:23:44",2.37,0.15,89.3,98.1,0,2012,2025,103,4,3,0,0,3
"Dr Ilham Essafri - Postdoctoral researcher at the University of Colorado Anschutz Medical Campus","Google Scholar Profile",27,147,9,16.33,5.44,41.20,9.00,4.33,6,12,7,1.20,4,34.66,5.89,9.20,9.43,2.66,"2025-08-05 15:23:44",4.57,0.44,85.0,99.3,0,2016,2025,147,10,7,4,0,4
"Rasmus Krogh Norrild - Postdoc at Technical University of Denmark","Google Scholar Profile",12,224,6,37.33,18.67,34.58,2.77,5.92,7,12,8,1.09,3,99.67,9.98,15.14,12.77,1.64,"2025-08-05 15:23:45",5.76,0.50,94.6,100.0,4,2019,2024,224,10,9,5,1,5
"Fangyuan Zhou - Postdoc, Georgia Institute of Technology","Google Scholar Profile",13,305,13,23.46,23.46,38.45,2.65,7.15,6,13,6,0.84,2,54.33,7.37,6.55,16.19,1.00,"2025-08-05 15:23:45",2.95,0.15,97.7,100.0,1,2012,2024,305,7,5,4,1,5
"filippo savini - Postdoc, University of Vienna","Google Scholar Profile",14,344,9,38.22,24.57,52.82,2.22,6.64,5,14,5,0.76,4,66.04,8.13,10.10,17.61,1.40,"2025-08-05 15:15:20",5.86,0.44,97.4,100.0,2,2016,2023,344,8,5,4,1,4
"BIPLAB KUMAR MANDAL - Postdoc, Université Libre de Bruxelles","Google Scholar Profile",9,22,9,2.44,2.44,8.67,3.92,2.78,3,4,2,1.00,2,3.61,1.90,1.52,2.45,1.83,"2025-08-05 15:15:20",0.96,0.22,68.2,81.8,0,2016,2024,22,1,0,0,0,1
"Luoxi Tan - Postdoctoral Research Associate at Oak Ridge National Laboratory","Google Scholar Profile",6,44,5,8.80,7.33,7.15,0.87,7.17,3,6,4,0.47,2,12.02,3.47,1.91,5.39,0.86,"2025-08-05 15:15:21",1.43,0.40,86.4,100.0,0,2020,2025,44,5,2,0,0,2
"Sheldon Sookai - Post doc, University of the Witwatersrand","Google Scholar Profile",16,57,2,28.50,3.56,19.92,5.78,3.63,6,7,7,1.80,3,43.50,6.60,13.67,3.87,2.28,"2025-08-05 15:15:21",9.96,1.50,89.5,98.2,1,2023,2025,57,8,7,6,0,5
"Dong An - Postdoc at University of Miami","Google Scholar Profile",26,64,5,12.80,2.46,14.37,7.20,4.38,4,7,5,0.84,2,27.03,5.20,7.42,6.00,1.57,"2025-08-05 15:15:21",2.87,0.40,81.3,93.8,0,2020,2025,64,7,5,1,0,4
"rayan chatterjee - Postdoc, Stanford University","Google Scholar Profile",10,71,9,7.89,7.10,14.83,3.06,3.90,5,8,4,1.00,2,21.92,4.68,4.17,6.78,1.07,"2025-08-05 15:15:21",1.64,0.22,100.0,100.0,0,2016,2025,71,5,3,2,0,2
"Hugo Lachuer - Postdoctoral researcher, Institut Jacques Monod, Paris.","Google Scholar Profile",19,80,5,16.00,4.21,13.91,5.46,5.05,5,8,6,0.86,2,36.73,6.06,6.35,7.00,1.32,"2025-08-05 15:15:22",2.78,0.40,92.5,98.8,2,2020,2025,80,7,5,3,0,4
"Hailong Yu - Postdoctoral Researcher, UT Southwestern Medical Center","Google Scholar Profile",6,88,7,12.57,14.67,24.00,1.56,5.33,4,6,3,0.59,2,19.52,4.42,5.69,8.49,0.72,"2025-08-05 15:15:22",3.42,0.29,100.0,100.0,1,2018,2024,88,3,2,1,0,2
"Alessia Pepe - Post doc, Università Politecnica delle Marche","Google Scholar Profile",7,95,4,23.75,13.57,13.64,1.03,6.86,4,7,5,0.57,2,32.83,5.73,4.73,8.72,0.74,"2025-08-05 15:15:22",3.41,0.50,96.8,100.0,1,2021,2025,95,5,4,3,0,3
"Aaron C. Stevens - Postdoctoral Researcher, Vanderbilt University","Google Scholar Profile",4,110,8,13.75,27.50,18.43,1.53,4.50,3,4,3,0.53,2,19.50,4.42,3.30,10.05,0.53,"2025-08-05 15:15:22",2.30,0.25,100.0,100.0,0,2017,2023,110,3,2,2,0,2
"Piotr Nowakowski - Postdoctoral researcher, Ruđer Bošković Institute","Google Scholar Profile",16,129,20,6.45,8.06,47.12,5.48,3.50,8,10,8,2.46,5,36.17,6.01,9.18,6.24,3.53,"2025-08-05 15:15:23",2.35,0.25,79.8,89.9,1,2005,2024,129,11,8,1,0,3
"Alessandro Berselli - postdoc, Università degli studi di Modena e Reggio Emilia","Google Scholar Profile",21,163,6,27.17,7.76,37.11,6.88,4.48,6,12,9,1.33,4,52.58,7.25,12.29,10.72,2.05,"2025-08-05 15:15:23",6.18,0.67,92.6,100.0,0,2019,2025,163,10,9,6,0,5
"Charles Fieseler - Postdoc, University of Vienna","Google Scholar Profile",20,205,15,13.67,10.25,44.89,5.65,4.50,7,14,6,1.48,5,57.33,7.57,12.07,12.00,2.35,"2025-08-05 15:15:23",2.99,0.33,94.1,100.0,1,2010,2025,205,9,6,3,1,4
"Chen Hu - Postdoctoral researcher, Umeå University","Google Scholar Profile",17,246,7,35.14,14.47,48.78,3.92,5.76,8,15,10,1.36,4,90.29,9.50,18.32,12.73,2.32,"2025-08-05 15:15:24",6.96,0.57,91.9,100.0,3,2018,2024,246,11,11,5,1,5
"Nina Blaimschein - Postdoc, ETH Zurich","Google Scholar Profile",6,280,7,40.00,46.67,39.08,1.83,5.33,4,6,4,0.64,2,48.61,6.97,7.09,16.25,0.66,"2025-08-05 15:15:24",5.58,0.29,100.0,100.0,2,2018,2023,280,4,4,2,1,3
"Hannah Rutledge - post doc, Max Planck Institute of Biochemistry","Google Scholar Profile",7,356,11,32.36,50.86,141.23,2.47,4.14,5,7,4,1.09,3,78.16,8.84,29.68,18.19,1.27,"2025-08-05 15:15:24",12.83,0.27,100.0,100.0,2,2014,2022,356,4,4,3,2,3
"Gustavo Carretero - Postdoctoral researcher at INM Roskilde University","Google Scholar Profile",30,401,16,25.06,13.37,68.94,6.11,5.73,10,19,9,1.67,4,73.23,8.56,12.64,15.43,2.88,"2025-08-05 15:02:05",4.30,0.25,84.3,97.8,2,2009,2025,401,20,15,2,0,4
"Nicholas G. Martinez - Postdoctoral Research Associate, University of Connecticut Health Center","Google Scholar Profile",3,19,4,4.75,6.33,2.95,1.31,4.67,2,3,2,0.31,1,7.00,2.65,1.06,3.87,0.31,"2025-08-05 15:02:05",0.73,0.25,100.0,100.0,0,2021,2023,19,2,2,0,0,2
"Hejer Dhahri - Postdoctoral Researcher, George Washington Cancer Center","Google Scholar Profile",14,29,7,4.14,2.07,6.35,4.81,4.50,4,5,5,0.80,2,17.67,4.20,4.09,3.16,1.06,"2025-08-05 15:02:06",0.90,0.29,89.7,96.6,0,2018,2025,29,6,4,1,0,2
"Pietro Luigi Muzzeddu - Post-Doctoral researcher, Université de Genève","Google Scholar Profile",9,40,5,8.00,4.44,8.75,3.63,3.67,4,6,5,0.89,2,22.83,4.78,5.09,4.69,1.10,"2025-08-05 15:02:06",1.75,0.40,95.0,100.0,0,2020,2025,40,5,5,2,0,4
"G Torregrosa-Cortes - Postdoc, EMBL Barcelona","Google Scholar Profile",9,49,4,12.25,5.44,17.72,2.95,4.33,4,6,5,1.07,2,25.33,5.03,7.47,4.80,1.54,"2025-08-05 15:02:06",4.43,0.50,79.6,91.8,0,2021,2025,49,8,5,2,0,3
"María Isabel Arjona Hidalgo - MSCA Postdoctoral Researcher at Institute Jacques Monod (IJM, CNRS), Paris","Google Scholar Profile",11,53,5,10.60,4.82,11.08,3.13,5.09,3,7,3,0.56,2,16.92,4.11,4.07,6.32,0.84,"2025-08-05 15:02:06",2.21,0.40,92.5,100.0,0,2020,2025,53,3,3,1,0,3
